"evaluation_tier","record_identifier","source_file","assertion_id","domain","official_source_locator","official_expected_value","expected_mapped_meaning","baseline_import_status","stored_database_value","api_observation","classification","eligible_for_semantic_denominator","rationale"
"detailed_fidelity","CNW 417","dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml","417-01","work_identity","count(//mei:work); (//mei:work)[1]/mei:identifier[1]","{""identifier"":{""type"":""CNW"",""value"":""417""},""work_count"":1}","Represent the official work as one stored work and retain its direct CNW identifier.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""catalogue_identifiers"":[{""type"":""CNW"",""value"":""417""}],""title"":""Duet"",""work_id"":21}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""catalogue_identifiers"":[{""type"":""CNW"",""value"":""417""}],""id"":21,""source_identifier"":""work_d1e191187"",""title"":""Duet""},""index_present"":true}","preserved","true","One work row remains and the asserted CNW identifier type/value is stored. The API detail exposes the same database identifier inventory. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 417","dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml","417-02","responsibility","(//mei:work)[1]/mei:contributor//mei:persName","[{""name"":""Carl Nielsen"",""role"":""composer""}]","Retain the asserted contributor identities together with their catalogue roles.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""composer_name"":""Niels Bo Foltmann"",""other_contributor_rows"":[]}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""composer"":{""id"":1,""name"":""Niels Bo Foltmann""},""contributor_roles"":[]},""index_present"":true}","incorrect","true","The stored composer is Niels Bo Foltmann, not the asserted Carl Nielsen contributor; additional asserted roles and people are absent. The API repeats this contradictory composer value, so the compound responsibility meaning is incorrect rather than merely incomplete. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 417","dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml","417-03","catalogue_identifier","(//mei:work)[1]/mei:identifier","[{""type"":""CNW"",""value"":""417""}]","Retain the asserted identifier types and values without conflating types; preserve source order where the assertion requires it.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""catalogue_number"":""417"",""ordering_basis"":""database primary-key ascending; importer creates rows sequentially, but no explicit source-position column exists"",""rows"":[{""database_id"":67,""type"":""CNW"",""value"":""417""}]}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""catalogue_identifiers"":[{""type"":""CNW"",""value"":""417""}],""catalogue_number"":""417""},""index_present"":true}","preserved","true","The asserted identifier types and values are all present in the database and API detail. No material identifier meaning in this assertion is lost. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 417","dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml","417-04","title","(//mei:work)[1]/mei:title","{""count"":4,""titles"":[{""language"":""da"",""text"":""Duet"",""type"":""""},{""language"":""en"",""text"":""Duet"",""type"":""""},{""language"":""da"",""text"":""for to damestemmer med klaverledsagelse"",""type"":""subordinate""},{""language"":""en"",""text"":""for two women's voices with piano accompaniment"",""type"":""subordinate""}]}","Retain the asserted title texts, types, languages, count, and selected display-title meaning.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""alternate_title_rows"":[],""stored_title"":""Duet"",""title_language_or_type_fields"":[]}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""alternate_titles"":[],""title"":""Duet"",""title_language_or_type_fields"":[]},""index_present"":true}","omitted","true","The selected Danish title is retained, but the other asserted titles and their language/type distinctions are not stored or exposed. Because the retained title does not contradict the source, the compound assertion is omitted. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 417","dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml","417-05","title","(//mei:work)[1]/mei:title","{""languages"":[""da"",""en"",""da"",""en""],""subordinate_count"":2}","Retain the asserted title texts, types, languages, count, and selected display-title meaning.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""alternate_title_rows"":[],""stored_title"":""Duet"",""title_language_or_type_fields"":[]}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""alternate_titles"":[],""title"":""Duet"",""title_language_or_type_fields"":[]},""index_present"":true}","omitted","true","Title-language and title-type metadata are not represented in the database or API. Any retained display title does not preserve the asserted multilingual/type structure, so the missing non-contradictory information is omitted. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 417","dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml","417-06","composition_date","(//mei:work)[1]/mei:creation/mei:date","{""creation_text"":""1889-02-04"",""date"":{""id"":""idm52"",""isodate"":""1889-02-04"",""text"":""1889-02-04""}}","Retain the asserted date text, exact value or bounds, precision, and uncertainty rather than only an undifferentiated year.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""composition_date"":""1889-02-04"",""composition_year"":1889,""structured_bounds_or_uncertainty_fields"":[]}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""composition_date"":""1889-02-04"",""composition_year"":1889},""index_present"":true}","transformed as intended","true","The exact official date text is retained as composition_date and a defensible integer year is derived. The API exposes the same normalized pair, retaining the complete asserted date meaning through the model transformation. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 417","dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml","417-07","component_structure","count((//mei:work)[1]//mei:expression); count((//mei:work)[1]//mei:componentList)","{""component_lists"":0,""expressions"":1}","Represent the asserted expression/component hierarchy and representative component values without assuming every expression is a musical movement.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""expression_or_component_rows"":[],""movement_count"":0,""movement_rows"":[]}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""expression_or_component_fields"":[],""movements"":[]},""index_present"":true}","omitted","true","The importer does not map MEI expression/component structures to the baseline model; zero movement rows do not represent the asserted hierarchy or values. The source structure is therefore omitted, and no claim is made that each expression is a musical movement. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 417","dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml","417-08","instrumentation","count((//mei:work)[1]//mei:perfRes[normalize-space()])","{""populated_resources"":2}","Retain the asserted performance-resource count plus representative names, codes, counts, grouping, and solo attributes.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""codedval_or_solo_fields"":[],""instrumentation_count"":2,""rows"":[{""name"":""2 voices"",""section"":""perfResList""},{""name"":""1 pf."",""section"":""perfResList""}]}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""instrumentation"":[""1 pf."",""2 voices""],""instrumentation_sections_or_attributes"":[]},""index_present"":true}","preserved","true","Two populated source resources become two instrumentation rows, so the asserted resource count is retained. API instrumentation names agree with the canonical database state. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 417","dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml","417-09","instrumentation","(//mei:work)[1]//mei:perfRes[normalize-space()][normalize-space(.)='voices']","{""codedval"":""vu"",""count"":""2"",""name"":""voices"",""solo"":""false""}","Retain the asserted performance-resource count plus representative names, codes, counts, grouping, and solo attributes.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""codedval_or_solo_fields"":[],""instrumentation_count"":2,""rows"":[{""name"":""2 voices"",""section"":""perfResList""},{""name"":""1 pf."",""section"":""perfResList""}]}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""instrumentation"":[""1 pf."",""2 voices""],""instrumentation_sections_or_attributes"":[]},""index_present"":true}","omitted","true","The resource name and count are combined into an instrumentation name, but codedval and solo attributes are absent. Because material non-contradictory parts of the compound assertion are missing, it is omitted. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 417","dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml","417-10","instrumentation","(//mei:work)[1]//mei:perfRes[normalize-space()][normalize-space(.)='pf.']","{""codedval"":""ka"",""count"":""1"",""name"":""pf."",""solo"":""false""}","Retain the asserted performance-resource count plus representative names, codes, counts, grouping, and solo attributes.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""codedval_or_solo_fields"":[],""instrumentation_count"":2,""rows"":[{""name"":""2 voices"",""section"":""perfResList""},{""name"":""1 pf."",""section"":""perfResList""}]}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""instrumentation"":[""1 pf."",""2 voices""],""instrumentation_sections_or_attributes"":[]},""index_present"":true}","omitted","true","The resource name and count are combined into an instrumentation name, but codedval and solo attributes are absent. Because material non-contradictory parts of the compound assertion are missing, it is omitted. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
