evaluation_tier,record_identifier,source_file,assertion_id,domain,official_source_locator,official_expected_value,expected_mapped_meaning,baseline_classification,post_correction_import_status,post_correction_stored_database_value,post_correction_api_observation,post_correction_classification,eligible_for_semantic_denominator,post_correction_rationale
detailed_fidelity,CNW 417,dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml,417-01,work_identity,count(//mei:work); (//mei:work)[1]/mei:identifier[1],"{""identifier"":{""type"":""CNW"",""value"":""417""},""work_count"":1}",Represent the official work as one stored work and retain its direct CNW identifier.,preserved,"success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""catalogue_identifiers"":[{""type"":""CNW"",""value"":""417""}],""title"":""Duet"",""work_id"":21}","{""status"":""not_evaluated"",""reason_code"":""request_context_pool_unresolved"",""index_reconciliation_finalized"":false,""detail_request_count"":0,""row_level_api_value_inferred"":false}",preserved,true,The frozen official-source expectation and corrected database observation support this classification. One work row remains and the asserted CNW identifier type/value is stored. The classification is based on the frozen official-source oracle and corrected database observation. Post-correction API exposure was not evaluated; no API value is inferred.
detailed_fidelity,CNW 417,dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml,417-02,responsibility,(//mei:work)[1]/mei:contributor//mei:persName,"[{""name"":""Carl Nielsen"",""role"":""composer""}]",Retain the asserted contributor identities together with their catalogue roles.,incorrect,"success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""composer_name"":""Carl Nielsen"",""other_contributor_rows"":[]}","{""status"":""not_evaluated"",""reason_code"":""request_context_pool_unresolved"",""index_reconciliation_finalized"":false,""detail_request_count"":0,""row_level_api_value_inferred"":false}",preserved,true,"The frozen official-source expectation and corrected database observation support this classification. The direct work-level composer contributor is stored as Carl Nielsen, the complete responsibility asserted by this row. The classification is based on the frozen official-source oracle and corrected database observation. Post-correction API exposure was not evaluated; no API value is inferred."
detailed_fidelity,CNW 417,dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml,417-03,catalogue_identifier,(//mei:work)[1]/mei:identifier,"[{""type"":""CNW"",""value"":""417""}]",Retain the asserted identifier types and values without conflating types; preserve source order where the assertion requires it.,preserved,"success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""catalogue_number"":""417"",""ordering_basis"":""database primary-key ascending; importer creates rows sequentially, but no explicit source-position column exists"",""rows"":[{""database_id"":67,""type"":""CNW"",""value"":""417""}]}","{""status"":""not_evaluated"",""reason_code"":""request_context_pool_unresolved"",""index_reconciliation_finalized"":false,""detail_request_count"":0,""row_level_api_value_inferred"":false}",preserved,true,The frozen official-source expectation and corrected database observation support this classification. The asserted identifier types and values are all present in the corrected database. No material identifier meaning in this assertion is lost. The classification is based on the frozen official-source oracle and corrected database observation. Post-correction API exposure was not evaluated; no API value is inferred.
detailed_fidelity,CNW 417,dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml,417-04,title,(//mei:work)[1]/mei:title,"{""count"":4,""titles"":[{""language"":""da"",""text"":""Duet"",""type"":""""},{""language"":""en"",""text"":""Duet"",""type"":""""},{""language"":""da"",""text"":""for to damestemmer med klaverledsagelse"",""type"":""subordinate""},{""language"":""en"",""text"":""for two women's voices with piano accompaniment"",""type"":""subordinate""}]}","Retain the asserted title texts, types, languages, count, and selected display-title meaning.",omitted,"success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""alternate_title_rows"":[],""stored_title"":""Duet"",""title_language_or_type_fields"":[]}","{""status"":""not_evaluated"",""reason_code"":""request_context_pool_unresolved"",""index_reconciliation_finalized"":false,""detail_request_count"":0,""row_level_api_value_inferred"":false}",omitted,true,"The frozen official-source expectation and corrected database observation support this classification. The selected Danish title is retained, but the other asserted titles and their language/type distinctions are not stored. Because the retained title does not contradict the source, the compound assertion is omitted. The classification is based on the frozen official-source oracle and corrected database observation. Post-correction API exposure was not evaluated; no API value is inferred."
detailed_fidelity,CNW 417,dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml,417-05,title,(//mei:work)[1]/mei:title,"{""languages"":[""da"",""en"",""da"",""en""],""subordinate_count"":2}","Retain the asserted title texts, types, languages, count, and selected display-title meaning.",omitted,"success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""alternate_title_rows"":[],""stored_title"":""Duet"",""title_language_or_type_fields"":[]}","{""status"":""not_evaluated"",""reason_code"":""request_context_pool_unresolved"",""index_reconciliation_finalized"":false,""detail_request_count"":0,""row_level_api_value_inferred"":false}",omitted,true,"The frozen official-source expectation and corrected database observation support this classification. Title-language and title-type metadata are not represented in the corrected database. Any retained display title does not preserve the asserted multilingual/type structure, so the missing non-contradictory information is omitted. The classification is based on the frozen official-source oracle and corrected database observation. Post-correction API exposure was not evaluated; no API value is inferred."
detailed_fidelity,CNW 417,dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml,417-06,composition_date,(//mei:work)[1]/mei:creation/mei:date,"{""creation_text"":""1889-02-04"",""date"":{""id"":""idm52"",""isodate"":""1889-02-04"",""text"":""1889-02-04""}}","Retain the asserted date text, exact value or bounds, precision, and uncertainty rather than only an undifferentiated year.",transformed as intended,"success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""composition_date"":""1889-02-04"",""composition_year"":1889,""structured_bounds_or_uncertainty_fields"":[]}","{""status"":""not_evaluated"",""reason_code"":""request_context_pool_unresolved"",""index_reconciliation_finalized"":false,""detail_request_count"":0,""row_level_api_value_inferred"":false}",transformed as intended,true,The frozen official-source expectation and corrected database observation support this classification. The exact official date text is retained as composition_date and a defensible integer year is derived. The stored normalized pair retains the complete asserted date meaning through the model transformation. The classification is based on the frozen official-source oracle and corrected database observation. Post-correction API exposure was not evaluated; no API value is inferred.
detailed_fidelity,CNW 417,dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml,417-07,component_structure,count((//mei:work)[1]//mei:expression); count((//mei:work)[1]//mei:componentList),"{""component_lists"":0,""expressions"":1}",Represent the asserted expression/component hierarchy and representative component values without assuming every expression is a musical movement.,omitted,"success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""expression_or_component_rows"":[],""movement_count"":0,""movement_rows"":[]}","{""status"":""not_evaluated"",""reason_code"":""request_context_pool_unresolved"",""index_reconciliation_finalized"":false,""detail_request_count"":0,""row_level_api_value_inferred"":false}",omitted,true,"The frozen official-source expectation and corrected database observation support this classification. The importer does not map MEI expression/component structures to the baseline model; zero movement rows do not represent the asserted hierarchy or values. The source structure is therefore omitted, and no claim is made that each expression is a musical movement. The classification is based on the frozen official-source oracle and corrected database observation. Post-correction API exposure was not evaluated; no API value is inferred."
detailed_fidelity,CNW 417,dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml,417-08,instrumentation,count((//mei:work)[1]//mei:perfRes[normalize-space()]),"{""populated_resources"":2}","Retain the asserted performance-resource count plus representative names, codes, counts, grouping, and solo attributes.",preserved,"success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""codedval_or_solo_fields"":[],""instrumentation_count"":2,""rows"":[{""name"":""2 voices"",""section"":""perfResList""},{""name"":""1 pf."",""section"":""perfResList""}]}","{""status"":""not_evaluated"",""reason_code"":""request_context_pool_unresolved"",""index_reconciliation_finalized"":false,""detail_request_count"":0,""row_level_api_value_inferred"":false}",preserved,true,"The frozen official-source expectation and corrected database observation support this classification. Two populated source resources become two instrumentation rows, so the asserted resource count is retained. The classification is based on the frozen official-source oracle and corrected database observation. Post-correction API exposure was not evaluated; no API value is inferred."
detailed_fidelity,CNW 417,dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml,417-09,instrumentation,(//mei:work)[1]//mei:perfRes[normalize-space()][normalize-space(.)='voices'],"{""codedval"":""vu"",""count"":""2"",""name"":""voices"",""solo"":""false""}","Retain the asserted performance-resource count plus representative names, codes, counts, grouping, and solo attributes.",omitted,"success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""codedval_or_solo_fields"":[],""instrumentation_count"":2,""rows"":[{""name"":""2 voices"",""section"":""perfResList""},{""name"":""1 pf."",""section"":""perfResList""}]}","{""status"":""not_evaluated"",""reason_code"":""request_context_pool_unresolved"",""index_reconciliation_finalized"":false,""detail_request_count"":0,""row_level_api_value_inferred"":false}",omitted,true,"The frozen official-source expectation and corrected database observation support this classification. The resource name and count are combined into an instrumentation name, but codedval and solo attributes are absent. Because material non-contradictory parts of the compound assertion are missing, it is omitted. The classification is based on the frozen official-source oracle and corrected database observation. Post-correction API exposure was not evaluated; no API value is inferred."
detailed_fidelity,CNW 417,dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml,417-10,instrumentation,(//mei:work)[1]//mei:perfRes[normalize-space()][normalize-space(.)='pf.'],"{""codedval"":""ka"",""count"":""1"",""name"":""pf."",""solo"":""false""}","Retain the asserted performance-resource count plus representative names, codes, counts, grouping, and solo attributes.",omitted,"success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""codedval_or_solo_fields"":[],""instrumentation_count"":2,""rows"":[{""name"":""2 voices"",""section"":""perfResList""},{""name"":""1 pf."",""section"":""perfResList""}]}","{""status"":""not_evaluated"",""reason_code"":""request_context_pool_unresolved"",""index_reconciliation_finalized"":false,""detail_request_count"":0,""row_level_api_value_inferred"":false}",omitted,true,"The frozen official-source expectation and corrected database observation support this classification. The resource name and count are combined into an instrumentation name, but codedval and solo attributes are absent. Because material non-contradictory parts of the compound assertion are missing, it is omitted. The classification is based on the frozen official-source oracle and corrected database observation. Post-correction API exposure was not evaluated; no API value is inferred."
detailed_fidelity,CNW 417,dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml,417-11,source_description,count(//mei:manifestation); count(//mei:manifestation//mei:item),"{""held_items"":0,""manifestations"":0}","Represent the asserted manifestations, held items, repositories, locations, and hand information in the intended source-reference domain.",preserved,"success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""rows"":[],""source_reference_count"":0}","{""status"":""not_evaluated"",""reason_code"":""request_context_pool_unresolved"",""index_reconciliation_finalized"":false,""detail_request_count"":0,""row_level_api_value_inferred"":false}",preserved,true,"The frozen official-source expectation and corrected database observation support this classification. The official source has no manifestations or held items, and the corrected database contains no source-reference rows, preserving the asserted absence. The classification is based on the frozen official-source oracle and corrected database observation. Post-correction API exposure was not evaluated; no API value is inferred."
detailed_fidelity,CNW 417,dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml,417-12,performance_and_relation_absence,count((//mei:work)[1]//mei:event); count((//mei:work)[1]//mei:relation[@target] | (//mei:work)[1]//mei:ref[@target] | (//mei:work)[1]//mei:ptr[@target]),"{""events"":0,""relation_ref_ptr_targets"":0}",Preserve the asserted absence of performance events and target-bearing relation/ref/ptr structures.,preserved,"success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""external_reference_count"":0,""performance_count"":0}","{""status"":""not_evaluated"",""reason_code"":""request_context_pool_unresolved"",""index_reconciliation_finalized"":false,""detail_request_count"":0,""row_level_api_value_inferred"":false}",preserved,true,The frozen official-source expectation and corrected database observation support this classification. Both asserted absences are retained: the database has zero performance rows and zero external-reference rows. The classification is based on the frozen official-source oracle and corrected database observation. Post-correction API exposure was not evaluated; no API value is inferred.
detailed_fidelity,CNW 277,dcm-catalogue-data/cnw/data-cnw/cnw0277.xml,277-01,work_identity,count(//mei:work); (//mei:work)[1]/mei:identifier[1],"{""identifier"":{""type"":""CNW"",""value"":""277""},""work_count"":1}",Represent the official work as one stored work and retain its direct CNW identifier.,preserved,"success with warning; ImportLog=success; warnings=no_movements,no_source_references,skipped_performance_event_no_supported_direct_values","{""catalogue_identifiers"":[{""type"":""CNW"",""value"":""277""},{""type"":""CNU"",""value"":""III/5, 215""},{""type"":""CNS"",""value"":""226""},{""type"":""FS"",""value"":""3q""}],""title"":""Se! Luften er stille"",""work_id"":308}","{""status"":""not_evaluated"",""reason_code"":""request_context_pool_unresolved"",""index_reconciliation_finalized"":false,""detail_request_count"":0,""row_level_api_value_inferred"":false}",preserved,true,The frozen official-source expectation and corrected database observation support this classification. One work row remains and the asserted CNW identifier type/value is stored. The classification is based on the frozen official-source oracle and corrected database observation. Post-correction API exposure was not evaluated; no API value is inferred.
detailed_fidelity,CNW 277,dcm-catalogue-data/cnw/data-cnw/cnw0277.xml,277-02,responsibility,(//mei:work)[1]/mei:contributor//mei:persName,"[{""name"":""Carl Nielsen"",""role"":""composer""},{""name"":""Jeremiah Joseph Callanan"",""role"":""author""},{""name"":""Caralis [Christian Preetzmann]"",""role"":""translator""}]",Retain the asserted contributor identities together with their catalogue roles.,incorrect,"success with warning; ImportLog=success; warnings=no_movements,no_source_references,skipped_performance_event_no_supported_direct_values","{""composer_name"":""Carl Nielsen"",""other_contributor_rows"":[]}","{""status"":""not_evaluated"",""reason_code"":""request_context_pool_unresolved"",""index_reconciliation_finalized"":false,""detail_request_count"":0,""row_level_api_value_inferred"":false}",omitted,true,"The frozen official-source expectation and corrected database observation support this classification. Carl Nielsen is correctly stored as composer, but author Jeremiah Joseph Callanan and translator Caralis [Christian Preetzmann] have no contributor-role rows. The retained composer is non-contradictory, so the absent roles are omitted. The classification is based on the frozen official-source oracle and corrected database observation. Post-correction API exposure was not evaluated; no API value is inferred."
detailed_fidelity,CNW 277,dcm-catalogue-data/cnw/data-cnw/cnw0277.xml,277-03,catalogue_identifier,(//mei:work)[1]/mei:identifier,"[{""type"":""CNW"",""value"":""277""},{""type"":""CNU"",""value"":""III/5, 215""},{""type"":""CNS"",""value"":""226""},{""type"":""FS"",""value"":""3q""}]",Retain the asserted identifier types and values without conflating types; preserve source order where the assertion requires it.,preserved,"success with warning; ImportLog=success; warnings=no_movements,no_source_references,skipped_performance_event_no_supported_direct_values","{""catalogue_number"":""277"",""ordering_basis"":""database primary-key ascending; importer creates rows sequentially, but no explicit source-position column exists"",""rows"":[{""database_id"":1216,""type"":""CNW"",""value"":""277""},{""database_id"":1217,""type"":""CNU"",""value"":""III/5, 215""},{""database_id"":1218,""type"":""CNS"",""value"":""226""},{""database_id"":1219,""type"":""FS"",""value"":""3q""}]}","{""status"":""not_evaluated"",""reason_code"":""request_context_pool_unresolved"",""index_reconciliation_finalized"":false,""detail_request_count"":0,""row_level_api_value_inferred"":false}",preserved,true,The frozen official-source expectation and corrected database observation support this classification. The asserted identifier types and values are all present in the corrected database. No material identifier meaning in this assertion is lost. The classification is based on the frozen official-source oracle and corrected database observation. Post-correction API exposure was not evaluated; no API value is inferred.
detailed_fidelity,CNW 277,dcm-catalogue-data/cnw/data-cnw/cnw0277.xml,277-04,title,(//mei:work)[1]/mei:title,"{""count"":5,""titles"":[{""language"":""da"",""text"":""Serenade"",""type"":""""},{""language"":""en"",""text"":""Serenade"",""type"":""""},{""language"":""da"",""text"":""See! Luften er stille"",""type"":""alternative""},{""language"":""en"",""text"":""The blue waves are sleeping"",""type"":""alternative""},{""language"":""da"",""text"":""Se! Luften er stille"",""type"":""uniform""}]}","Retain the asserted title texts, types, languages, count, and selected display-title meaning.",incorrect,"success with warning; ImportLog=success; warnings=no_movements,no_source_references,skipped_performance_event_no_supported_direct_values","{""alternate_title_rows"":[],""stored_title"":""Se! Luften er stille"",""title_language_or_type_fields"":[]}","{""status"":""not_evaluated"",""reason_code"":""request_context_pool_unresolved"",""index_reconciliation_finalized"":false,""detail_request_count"":0,""row_level_api_value_inferred"":false}",incorrect,true,"The frozen official-source expectation and corrected database observation support this classification. The database selects the uniform title 'Se! Luften er stille' instead of the asserted first untyped title 'Serenade', and retains no other title rows. This materially contradicts the asserted selected-title meaning, so the compound assertion is incorrect. The classification is based on the frozen official-source oracle and corrected database observation. Post-correction API exposure was not evaluated; no API value is inferred."
detailed_fidelity,CNW 277,dcm-catalogue-data/cnw/data-cnw/cnw0277.xml,277-05,title,(//mei:work)[1]/mei:title,"{""languages"":[""da"",""en"",""da"",""en"",""da""],""types"":["""","""",""alternative"",""alternative"",""uniform""]}","Retain the asserted title texts, types, languages, count, and selected display-title meaning.",omitted,"success with warning; ImportLog=success; warnings=no_movements,no_source_references,skipped_performance_event_no_supported_direct_values","{""alternate_title_rows"":[],""stored_title"":""Se! Luften er stille"",""title_language_or_type_fields"":[]}","{""status"":""not_evaluated"",""reason_code"":""request_context_pool_unresolved"",""index_reconciliation_finalized"":false,""detail_request_count"":0,""row_level_api_value_inferred"":false}",omitted,true,"The frozen official-source expectation and corrected database observation support this classification. Title-language and title-type metadata are not represented in the corrected database. Any retained display title does not preserve the asserted multilingual/type structure, so the missing non-contradictory information is omitted. The classification is based on the frozen official-source oracle and corrected database observation. Post-correction API exposure was not evaluated; no API value is inferred."
detailed_fidelity,CNW 277,dcm-catalogue-data/cnw/data-cnw/cnw0277.xml,277-06,composition_date,(//mei:work)[1]/mei:creation/mei:date,"{""creation_text"":""Between c. 1886 and 1888"",""date"":{""id"":""idm105"",""notafter"":""1888"",""notbefore"":""1886"",""text"":""Between c. 1886 and 1888""}}","Retain the asserted date text, exact value or bounds, precision, and uncertainty rather than only an undifferentiated year.",transformed as intended,"success with warning; ImportLog=success; warnings=no_movements,no_source_references,skipped_performance_event_no_supported_direct_values","{""composition_date"":""Between c. 1886 and 1888"",""composition_year"":1886,""structured_bounds_or_uncertainty_fields"":[]}","{""status"":""not_evaluated"",""reason_code"":""request_context_pool_unresolved"",""index_reconciliation_finalized"":false,""detail_request_count"":0,""row_level_api_value_inferred"":false}",transformed as intended,true,"The frozen official-source expectation and corrected database observation support this classification. The complete uncertain/ranged date wording remains in composition_date and the lower bound is normalized to composition_year. Structured notbefore/notafter fields are absent, but the stored date text retains the full asserted bounds and uncertainty, so this is a defensible transformation rather than a loss of meaning. The classification is based on the frozen official-source oracle and corrected database observation. Post-correction API exposure was not evaluated; no API value is inferred."
